Design,Width,Delay,LUTs,CCs,Power,Error Probability,Average Relative Error,MSE,PSNR in dB,Delay Reduction in %,Power Reduction in %,Area Reduction in %,Desired Design,RCA Delay,RCA Power,RCA Area
RCA_LUT,4,5.188,4,1,43.159,0,0,0,53.522,-0.019,15.083,-60.000,x,5.187,50.825,5
Standard RCA,4,5.187,5,0,50.825,0,0,0,53.522,0.000,0.000,0.000,,5.473,63.196,14
RCA_Cut1LUTswitched,4,5.3,3,1,41.639,50,0.045,0.5,26.532,-2.179,18.074,-40.000,,5.535,90.382,20
RCA_Cut1LUT,4,5.352,3,1,40.068,56.25,0.053,0.75,24.771,-3.181,21.165,-40.000,x,,,
QuAd_13_00,4,5.151,4,1,38.498,56.25,0.105,3,18.751,0.694,24.254,-60.000,,,,
QuAd_22_01,4,5.16,4,1,44.394,25,0.083,4,17.501,0.521,12.653,-60.000,,,,
QuAd_31_02,4,5.207,6,2,43.549,12.5,0.075,8,14.491,-0.386,14.316,-180.000,,,,
QuAd_121_001,4,5.108,4,1,43.482,56.25,0.149,10,13.522,1.523,14.448,-60.000,,,,
QuAd_1111_0000,4,5.059,4,0,37.219,46.875,0.144,12,12.730,2.468,26.770,20.000,x,,,
QuAd_112_000,4,5.116,4,1,34.211,60.937,0.19,12,12.730,1.369,32.689,-60.000,,,,
QuAd_121_000,4,5.059,3,0,43.395,56.25,0.145,12,12.730,2.468,14.619,40.000,,,,
QuAd_211_000,4,5.059,3,0,40.423,37.5,0.142,12,12.730,2.468,20.466,40.000,,,,
QuAd_211_001,4,5.115,4,1,42.046,37.5,0.157,12,12.730,1.388,17.273,-60.000,,,,
QuAd_211_010,4,5.059,3,0,40.423,37.5,0.142,12,12.730,2.468,20.466,40.000,,,,
QuAd_211_011,4,5.115,4,1,42.046,37.5,0.157,12,12.730,1.388,17.273,-60.000,,,,
QuAd_22_00,4,5.117,3,1,40.652,56.25,0.194,12,12.730,1.350,20.016,-40.000,,,,
QuAd_31_00,4,5.128,4,1,40.923,25,0.136,16,11.481,1.137,19.483,-60.000,,,,
QuAd_31_01,4,5.145,5,2,41.33,25,0.151,16,11.481,0.810,18.682,-160.000,,,,
RCA_Cut2LUT,4,5.289,2,1,33.5,83.593,0.261,16.75,11.282,-1.966,34.088,-20.000,x,,,
RCA_Cut2LUTswitched,4,5.354,2,1,33.026,81.25,0.26,17,11.217,-3.220,35.020,-20.000,,,,
RCA_LUT,6,5.483,6,2,66.001,0,0,0,65.987,-0.183,-4.439,0.000,,,,
Standard RCA,6,5.473,6,2,63.196,0,0,0,65.987,0.000,0.000,0.000,x,,,
RCA_Cut1LUTswitched,6,5.614,5,2,64.089,50,0.011,0.5,38.997,-2.576,-1.413,7.143,,,,
RCA_Cut1LUT,6,5.563,5,2,58.197,56.25,0.013,0.75,37.236,-1.644,7.910,7.143,x,,,
QuAd_15_00,6,5.508,6,2,60.662,56.25,0.026,3,31.216,-0.640,4.010,0.000,,,,
QuAd_24_01,6,5.512,6,2,69.82,25,0.021,4,29.966,-0.713,-10.482,0.000,,,,
QuAd_33_02,6,5.507,8,3,67.304,12.5,0.02,8,26.956,-0.621,-6.500,-42.857,,,,
QuAd_123_001,6,5.382,6,1,66.371,56.25,0.039,10,25.987,1.663,-5.024,28.571,,,,
QuAd_114_000,6,5.387,6,1,57.322,60.937,0.051,12,25.195,1.571,9.295,28.571,,,,
QuAd_213_001,6,5.385,6,1,65.43,37.5,0.042,12,25.195,1.608,-3.535,28.571,,,,
QuAd_213_011,6,5.385,6,1,65.43,37.5,0.042,12,25.195,1.608,-3.535,28.571,,,,
QuAd_231_003,6,5.382,8,2,67.983,56.25,0.052,12,25.195,1.663,-7.575,-14.286,,,,
QuAd_24_00,6,5.382,5,1,62.114,56.25,0.052,12,25.195,1.663,1.712,35.714,,,,
QuAd_321_013,6,5.37,10,3,67.7,25,0.041,16,23.946,1.882,-7.127,-57.143,,,,
QuAd_33_01,6,5.397,7,2,65.835,25,0.041,16,23.946,1.389,-4.176,-7.143,,,,
QuAd_42_03,6,5.509,9,3,73.588,6.25,0.019,16,23.946,-0.658,-16.444,-50.000,,,,
RCA_Cut2LUT,6,5.579,4,2,55.204,83.593,0.069,16.75,23.747,-1.937,12.646,14.286,,,,
RCA_Cut2LUTswitched,6,5.646,4,1,57.81,81.25,0.069,17,23.682,-3.161,8.523,42.857,x,,,
QuAd_222_002,6,5.398,6,1,68.523,53.125,0.056,20,22.977,1.370,-8.429,28.571,,,,
QuAd_312_002,6,5.403,8,2,63.331,28.125,0.05,24,22.185,1.279,-0.214,-14.286,,,,
QuAd_312_012,6,5.403,8,2,63.331,28.125,0.05,24,22.185,1.279,-0.214,-14.286,,,,
QuAd_132_002,6,5.353,8,2,61.202,60.937,0.054,26,21.837,2.193,3.155,-14.286,,,,
QuAd_222_012,6,5.395,8,2,69.699,32.812,0.049,26,21.837,1.425,-10.290,-14.286,,,,
QuAd_312_022,6,5.406,10,3,68.192,20.312,0.046,28,21.515,1.224,-7.906,-57.143,,,,
QuAd_411_023,6,5.403,11,3,73.463,12.5,0.039,32,20.935,1.279,-16.246,-64.286,,,,
