Design,Width,Delay in ns,LUT count,CCs,Power in uW,Error Probability,Average Relative Error,MSE,PSNR in dB,Delay Reduction in %,Power Reduction in %,Area Reduction in %,Desired Design
RCA_LUT,4,8.825,6,1,209.188,0,0,0,53.522,0.000,0.000,0.000,x
RCA_Cut1LUT,4,8.877,5,1,153.07,56.25,0.053,0.75,24.771,-0.589,26.827,10.000,x
QuAd_1111_0000,4,8.134,6,0,194.142,46.875,0.144,12,12.730,7.830,7.193,40.000,x
RCA_Cut2LUT,4,8.596,4,1,103.976,83.593,0.261,16.75,11.282,2.595,50.295,20.000,x
Standard RCA,6,8.493,7,2,95.856,0,0,0,65.987,0.000,0.000,0.000,x
RCA_Cut1LUT,6,8.869,6,2,221.759,56.25,0.013,0.75,37.236,-4.427,-131.346,6.667,x
RCA_Cut2LUTshifted,6,8.819,5,1,181.248,81.25,0.069,17,23.682,-3.838,-89.084,40.000,x
QuAd_1122_0000,6,8.43,6,1,237.846,75.39,0.184,192,13.154,0.742,-148.128,33.333,x
RCA_LUT,8,8.789,8,2,346.048,0,0,0,78.131,0.000,0.000,0.000,x
RCA_Cut2LUT,8,8.856,6,2,237.482,83.593,0.017,16.75,35.891,-0.762,31.373,12.500,x
QuAd_224_000,8,8.629,6,1,303.15,71.875,0.05,192,25.298,1.820,12.397,37.500,x
QuAd_3113_0000,8,8.66,8,2,295.91,66.406,0.097,768,19.277,1.468,14.489,0.000,x
